Go.	Idi.
We can't follow your plan any longer.	Ne možemo više da pratimo tvoj plan.
We learn to read and write in school.	Učimo da čitamo i pišemo u školi.
We learn to read and write in school.	U školi učimo da čitamo i pišemo.
We must obey the traffic regulations.	Moramo poštovati pravila saobraćaja.
We must obey the traffic regulations.	Moramo poštovati saobraćajna pravila.
We'll get through the jungle somehow.	Nekako ćemo proći kroz džunglu.
We'll get through the jungle somehow.	Proćićemo kroz džunglu nekako.
I can't give you an answer right away.	Ne mogu ti odgovoriti odmah.
I told Tom that you were in Australia.	Rekao sam Tomu da si u Australiji.
She was educated in the United States.	Ona se školovala u Sjedinjenim Američkim Državama.
She was educated in the United States.	Ona je školovana u Sjedinjenim Državama.
This phone isn't working as it should.	Ovaj telefon ne radi kako bi trebao.
I don't know why I even bother anymore.	Ne znam zašto se uopšte više brinem.
I don't know why I even bother anymore.	Ne znam zašto više obraćam pažnju uopšte.
There's a party at Tom's house tonight.	Parti je u Tomovoj kući večeras.
Tom is listening to his phone messages.	Tom preslušava svoje poruke na telefonu.
Have you tried restarting your computer?	Da li si probao da ponovo pokreneš računar?
Have you tried restarting your computer?	Da li ste probali da ponovo pokrenete računar?
I've been sick in bed since last Monday.	Ležim bolestan u krevetu još od prošlog ponedeljka.
We had a serious conversation about that.	Imali smo ozbiljan razgovor o tome.
What I want now is a glass of cold water.	Ono što želim sada je čaša hladne vode.
We have a washing machine in the basement.	Imamo mašinu za pranje veša u podrumu.
This phone isn't working the way it should.	Ovaj telefon ne radi na način kako bi trebao.
We'll discuss the problem with them tomorrow.	Sutra ćemo razgovarati sa njima o problemu.
I don't think you need to tell Tom what to do.	Mislim da ne treba da govoriš Tomu šta da radi.
I wonder if Tom likes dancing as much as Mary.	Pitam se da li Tom voli plesanje koliko Marija.
I've been to more than ten foreign countries so far.	Bio sam u više od deset stranih država do sada.
I didn't know that soccer was such a dangerous sport.	Nisam znao da je fudbal tako opasan sport.
Tom asked Mary some questions that she couldn't answer.	Tom je pitao Mariju neka pitanja na koja ona nije mogla da odgovori.
Tom asked Mary some questions that she couldn't answer.	Tom je postavio Mariji neka pitanja na koja ona nije mogla odgovoriti.
